rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, age, phone_number, soc_sec_id, blocking_number
rec-717-org,   tylah, coleman, 26, cochrane crescent, , ringwood north, 3133, vic, 19311028, 31, 03 51426276, 1711883, 3
rec-851-dup-4, ruby, kerrr, 87, ashby circuit, , irymple, 6164, tct, 19320909, 35, 03 88688268, 7085349, 5
rec-445-org,   todd, shepherd, 112, hayter place, morven, regents park, 2032, vic, , 30, 08 68220930, 2418427, 5
rec-353-org,   charlie, dolan, 55, archibald street, , moorooka, 2205, nt, , , 07 64364403, 9490205, 3
rec-1179-dup-0, chloe, edsoj, , robson street, , oysterl bay, 6110, qld, 19510987, 36, 07 26689707, 9390838, 1
rec-1476-org,   katelyn, coleman, 18, moore street, , kuraby, 3015, , 19380807, 29, 04 76303438, 1116379, 0
rec-1124-dup-0, madison, flatfsacn, 94, chauvel street, , narellan, 4179, nsw, 19120924, 22, 03 61938173, 9403242, 5
rec-1852-dup-1, kaes, hersi, 764, dryandrastreet, , erica, 4744, qla, 19641202, 34, 08 58067310, 6297640, 2
rec-1311-dup-0, bialous, hannah, 9, murphy street, , manly valc, 3175, wa, 19641126, 29, 03 89464376, 7876229, 1
rec-1476-dup-0, toby, coleman, 18, moore street, , kuraby, 3015, , 19308077, 29, 04 76303438, 1116379, 0
rec-1997-org,   vianca, zimmermann, 72, gurubun close, , tuart hill, 3805, nsw, 19820114, 22, 02 34387611, 9888186, 5
rec-695-org,   jessica, sieber, 13, rapanea street, glenview, windsor, 2082, , 19761103, 26, 04 88682743, 8589314, 3
rec-1145-org,   ella, pichlmann, 55, bonney street, murrawarra, boondall, 2137, vic, 19591020, , 04 90814559, 7791624, 8
rec-438-org,   benjamin, thorpe, 30, abercorn crescent, , briar hill, 3337, sa, 19790623, 24, 08 14618919, 4480380, 4
rec-1146-dup-0, jacl, blake, 14, kater place, otp house, greenwith, 2121, vic, 19000709, 28, 08 35262891, 3634683, 0
rec-578-dup-0, willow, bauman, 12, , , garran, 3178, vic, 19272110, 24, 07 72742885, 3700701, 3
rec-1834-dup-0, max, baddeley, 88, carinyah station, wheatley street, boclnc, 2483, nsw, 19630717, 28, 07 28474546, 8386193, 4
rec-472-dup-0, cooee, green, 9, eugenia street, , alburl, 2264, vic, 19920702, , 04 34206753, 7424494, 3
rec-1583-org,   thomas, matthews, 19, waugh close, principals residence, devonport, 5048, , 19070419, , 02 19549134, 2968030, 6
rec-1635-org,   joshua, szczecinski, 12, , , warilla, 2077, nsw, 19970217, , 07 72706039, 6955392, 6
rec-1809-dup-0, sachin, berrh, 5, mcelhone court, , watsonia, 3191, , 19690211, 28, 02 53537753, 4118099, 8
rec-630-dup-1, xanthe, stanley, 9, henty wtreet, , ermington, 2846, nsm, 19031220, 34, 07 16034449, 3408884, 3
rec-81-org,   jack, walpole, 6, callaghan street, aranmor, elwood, 4737, nsw, 19630406, 31, 04 59877266, 8401224, 2
rec-869-dup-1, rebekah, corbin, 3, badimara tsreet, , annandale, 3183, nd, 19710927, 32, 08 59965189, 7988420, 2
rec-1976-dup-0, kelsey, o'garey, 39, tank s tfeet, , sylvania, 1709, nsw, 19405820, , 08 33843993, 6268617, 1
rec-845-org,   jake, mercorella, 80, slessor crescent, inglewood, new farm, 4305, sa, 19670822, 27, , 2486572, 9
rec-199-org,   william, webb, 11, bandjalong crescent, , eight mile plains, 4380, , , 25, 02 27362086, 4942249, 7
rec-1564-dup-0, rebekah, clarke, 34, madigan street, , northbward, 2135, tas, 19699594, 17, 03 20463786, 6196117, 9
rec-686-dup-1, rosa, bobroff, 47, skinnersctreet, , paddington, 3073, ss, 19010730, 31, 08 15877132, 9869872, 2
rec-1135-org,   daniel, clarke, 27, beasley street, , oakden, 6149, nsw, 19130416, 22, 04 24203238, 8099510, 6
rec-1271-dup-0, finn, campbell, 54, byrnes place, , dora creek, 2507, viz, , 21, 04 04596985, 5426372, 3
